id,name,image,description,type,attackPower,passive
17f697685ffl0i0a6ejx68qb20d9e,Bone Bolt,https://eldenring.fanapis.com/images/ammos/17f697685ffl0i0a6ejx68qb20d9e.png,Bolt carved from a thin animal bone. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 40}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f693d91c2l0i0a6evjmmx3oa7qf,Bone Ballista Bolt,https://eldenring.fanapis.com/images/ammos/17f693d91c2l0i0a6evjmmx3oa7qf.png,Greatbolt as large as a spear carved from stout animal bones. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 150}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",- 
17f6956b383l0i0a6hqo084990dji,Burred Bolt,https://eldenring.fanapis.com/images/ammos/17f6956b383l0i0a6hqo084990dji.png,Bolt covered in thorns. One of the most horrific weapons used in the Shattering. Afflicts with blood loss.,Pierce,"[{'name': 'physical', 'amount': 30}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes blood loss buildup (65)
17f6997ebfel0i0a6idqxeuva67nsk,Dwelling Arrow,https://eldenring.fanapis.com/images/ammos/17f6997ebfel0i0a6idqxeuva67nsk.png,Arrow in which the spirits of small animals are thought to dwell.,Pierce,"[{'name': 'physical', 'amount': 15}, {'name': 'magic', 'amount': 95}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f6935eb21l0i0a6ntkl0li8p6xkg,Explosive Greatbolt,https://eldenring.fanapis.com/images/ammos/17f6935eb21l0i0a6ntkl0li8p6xkg.png,Greatbolt tipped with a clump of Explosive Stone shards.,Pierce,"[{'name': 'physical', 'amount': 50}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 150}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f697796f8l0i0a6nunhop3qk25xg,Explosive Bolt,https://eldenring.fanapis.com/images/ammos/17f697796f8l0i0a6nunhop3qk25xg.png,"Bolt tipped with a shard of Explosive Stone. Explodes on impact, dealing fire damage.",Pierce,"[{'name': 'physical', 'amount': 15}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 70}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",None
17f693d14cfl0i0a6xwx7n1y3jowc9,Fire Arrow,https://eldenring.fanapis.com/images/ammos/17f693d14cfl0i0a6xwx7n1y3jowc9.png,Arrow with the tip set alight.Deals fire damage. ,Pierce,"[{'name': 'physical', 'amount': 15}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 95}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f699870acl0i0a73wa3jmaf1ax4j,Firebone Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f699870acl0i0a73wa3jmaf1ax4j.png,Arrow whittled from animal bones. The tip is set alight before firing. Deals fire damage to foes.,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 90}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f6992419cl0i0a7gx5d666jdb9q7,Firebone Bolt,https://eldenring.fanapis.com/images/ammos/17f6992419cl0i0a7gx5d666jdb9q7.png,Bolt carved from animal bone. The tip is set alight before firing. Deals fire damage.,Pierce,"[{'name': 'physical', 'amount': 15}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 75}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f697bf804l0i0a7j8awlq1z4g9u6,Flaming Bolt,https://eldenring.fanapis.com/images/ammos/17f697bf804l0i0a7j8awlq1z4g9u6.png,Bolt with a fiercely burned tip. Deals powerful fire damage.,Pierce,"[{'name': 'physical', 'amount': 20}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 80}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f69914f7dl0i0a7oebu55m1twr75,Golden Bolt,,Bolt blessed with an incantation of the Erdtree. Deals powerful holy damage ,,"[{'name': 'Phy20', 'amount': None}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 80}, {'name': 'critical', 'amount': 100}]",-
17f69992e40l0i0a7oo1s1bq93kal7,Golden Arrow,https://eldenring.fanapis.com/images/ammos/17f69992e40l0i0a7oo1s1bq93kal7.png,Carved arrows made in tandem with the Erdtree Bow. Deals holy damage. ,Pierce,"[{'name': 'physical', 'amount': 15}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 95}, {'name': 'critical', 'amount': 100}]",-
17f696b53c0l0i0a7qtqyrwtbtoq7,Golden Great Arrow,https://eldenring.fanapis.com/images/ammos/17f696b53c0l0i0a7qtqyrwtbtoq7.png,Carved greatarrows made together with the Erdtree Greatbow. Deals holy damage. ,Pierce,"[{'name': 'Phy40', 'amount': None}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 110}, {'name': 'critical', 'amount': 100}]",-
17f69469b06l0i0a7sg2a8ces4w9x,Golem's Great Arrow,https://eldenring.fanapis.com/images/ammos/17f69469b06l0i0a7sg2a8ces4w9x.png,"Greatarrow of black stone crafted by a civilization now gone to ruin. Used by the Guardian Golem.This hefty arrow is enrobed in tempestuous winds, allowing it to break enemy stances and guards with ease.",Pierce,"[{'name': 'physical', 'amount': 105}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f69af00fal0i0a7uu2qhpuftxzv,Great Arrow,https://eldenring.fanapis.com/images/ammos/17f69af00fal0i0a7uu2qhpuftxzv.png,A greatarrow as large as a spear for use with greatbows. Used by archers of monstrous strength employed by a lord's army.,,"[{'name': 'Phy100', 'amount': None}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f69b8ce34l0i0a7zih8qfea4dvka,Haligbone Arrow,https://eldenring.fanapis.com/images/ammos/17f69b8ce34l0i0a7zih8qfea4dvka.png,Arrow whittled From animal bones. The tip is daubed with a golden tincture. Deals holy damage. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 90}, {'name': 'critical', 'amount': 100}]",-
17f69b16cb6l0i0a8r058km513nvw7,Haligbone Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f69b16cb6l0i0a8r058km513nvw7.png,Arrow whittled from animal bones. The tip is daubed with a golden tincture. Deals holy damage. Craftable item. The fletching adds distance to the arrow's flight. ,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 90}, {'name': 'critical', 'amount': 100}]",-
17f6945f9cal0i0a8wtc9cmxtd7rnn,Lightning Greabolt,https://eldenring.fanapis.com/images/ammos/17f6945f9cal0i0a8wtc9cmxtd7rnn.png,Greatbolt tipped with a climp of Gravel Stone shards. ,Pierce,"[{'name': 'physical', 'amount': 50}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 150}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f693c3e3el0i0a8wy8f2xnxro75k,Haligbone Bolt,https://eldenring.fanapis.com/images/ammos/17f693c3e3el0i0a8wy8f2xnxro75k.png,Bolt carved from animal bone. The tip is daubed with a golden tincture. Deals holy damage. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 15}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': None}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 75}, {'name': 'critical', 'amount': 100}]",-
17f69b0f8ebl0i0a8xtaw8i78q9o,Lightning Greabolt,https://eldenring.fanapis.com/images/ammos/17f69b0f8ebl0i0a8xtaw8i78q9o.png,Greatbolt tipped with a climp of Gravel Stone shards.Deals powerful lightning damage. ,Pierce,"[{'name': 'physical', 'amount': 50}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 150}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f69789d70l0i0a8zc8rtag3dspv4,Lightningbone Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f69789d70l0i0a8zc8rtag3dspv4.png,Arrow whittled from animal bones with a lightning-infused tip. Deals lightning damage.Craftable item. The fletching adds distance to the arrow's flight. ,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 90}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f69635263l0i0a8ze3afj4nohfva,Lightningbone Arrow,https://eldenring.fanapis.com/images/ammos/17f69635263l0i0a8ze3afj4nohfva.png,Arrow whittled from animal bones with a lightning-infused tip. Deals lightning damage.Craftable item.,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 90}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f6994982el0i0a92geml5aal9gy6,Lightningbone Bolt,https://eldenring.fanapis.com/images/ammos/17f6994982el0i0a92geml5aal9gy6.png,Bolt crafted from animal bone with a lightning-infused tip. Deals lightning damage. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 15}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 75}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f69b5a80el0i0a93rl97dubpwddn,Lordsworn's Bolt,https://eldenring.fanapis.com/images/ammos/17f69b5a80el0i0a93rl97dubpwddn.png,"Well-crafted bolt with an illustrious design, wielded by regulars of a lord's army.",Pierce,"[{'name': 'physical', 'amount': 65}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f6937df3bl0i0a9qwoh0sfdx9ih,Magicbone Bolt,https://eldenring.fanapis.com/images/ammos/17f6937df3bl0i0a9qwoh0sfdx9ih.png,Bolt carved from animal bone. The tip is daubed with a glintstone tincture. Deals magic damage. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 15}, {'name': 'magic', 'amount': 75}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f6977d26el0i0a9t6xhw1vwy7z5e,Poisonbone Arrow,https://eldenring.fanapis.com/images/ammos/17f6977d26el0i0a9t6xhw1vwy7z5e.png,Arrow whittled from animal bones. The tip is daubed with venom. Afflicts targets with poison. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Confers Poison status ailment
17f696e5e94l0i0aa0jso6bhzrwcsg,Poisonbone Bolt,https://eldenring.fanapis.com/images/ammos/17f696e5e94l0i0aa0jso6bhzrwcsg.png,Bolt carved from animal bone. The tip is daubed with venom. Afflicts targets with poison. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes poison buildup (66)
17f69541e1el0i0aa1v5xyb7xygmaa,Poisonbone Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f69541e1el0i0aa1v5xyb7xygmaa.png,Arrow whittled from animal bones. The tip is daubed with venom. Afflicts targets with poison. Craftable item. The addition of fletching enables more precise shots that can travel farther.,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Confers Poison status ailment
17f69251e6al0i0aa1x6q566kjp786,Perfumer's Bolt,https://eldenring.fanapis.com/images/ammos/17f69251e6al0i0aa1x6q566kjp786.png,Bolt created with perfumer techniques. Used by nobles' guards and the like.,Pierce,"[{'name': 'physical', 'amount': 15}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 65}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f699a2487l0i0aa4vpxysfgpaem,Magicbone Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f699a2487l0i0aa4vpxysfgpaem.png,Arrow whittled from animal bones. The tip is daubed with a glintstone tincture. Deals magic damage.Craftable item. The Retching adds distance to the arrow's flight.,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 90}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f695efd8fl0i0aa79m4cnuhuw36g,Meteor Bolt,https://eldenring.fanapis.com/images/ammos/17f695efd8fl0i0aa79m4cnuhuw36g.png,Enchanted work of craft made in tandem with Full Moon Crossbow. The tip is embedded with glintstone.,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 80}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f697e9935l0i0aa7wy8c60t8z11,Magicbone Arrow,https://eldenring.fanapis.com/images/ammos/17f697e9935l0i0aa7wy8c60t8z11.png,Arrow whittled from animal bones. The tip is daubed with a glintstone tincture. Deals magic damage. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 10}, {'name': 'magic', 'amount': 90}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f69681f23l0i0aahxnk8hmk4asl,Radahn's Spear,https://eldenring.fanapis.com/images/ammos/17f69681f23l0i0aahxnk8hmk4asl.png,Greatarrows used by the General Radahns during the festival of combat. These are in fact the many spears with which he was stabbed by the Cleanrot Knights.Imbued with Radahn's gravitational power.,Pierce,"[{'name': 'physical', 'amount': 100}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f6948e462l0i0aajv98butqkk57r,Rainbow Stone Arrow,https://eldenring.fanapis.com/images/ammos/17f6948e462l0i0aajv98butqkk57r.png,Arrow whittled from animal bones tipped with chips of Rainbow Stone. Colored lights shine at the point of impact. ,,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f696f613bl0i0ab2gzfybs6xv4m,Rotbone Arrow,https://eldenring.fanapis.com/images/ammos/17f696f613bl0i0ab2gzfybs6xv4m.png,Arrow whittled from animal bones. The tip is daubed with rot. Afflicts targets with scarlet rot. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes scarlet rot buildup (50)
17f6999ab25l0i0ab4wbrb3l2bbiwn,Rotbone Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f6999ab25l0i0ab4wbrb3l2bbiwn.png,Arrow whittled from animal bones. The tip is daubed with rot. Afflicts targets with scarlet rot. Craftable item. The fletching adds distance to the arrow's flight.,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes scarlet rot buildup (50)
17f698609f1l0i0ab5qhcgdj349ejv,Shattershard Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f698609f1l0i0ab5qhcgdj349ejv.png,Arrow whittled from animal bones tipped with a shard of crystal. Creates a resonating noise at the point of impact.,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f69aaa491l0i0ab7upr3t0arnja,Serpent Arrow,https://eldenring.fanapis.com/images/ammos/17f69aaa491l0i0ab7upr3t0arnja.png,Arrow carved to resemble a flying snake. Used in tandem with the Serpent Bow.,,"[{'name': 'physical', 'amount': 30}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes heavy poison buildup (78)
17f69657954l0i0ab817nv558hszgs,Shattershard Arrow,https://eldenring.fanapis.com/images/ammos/17f69657954l0i0ab817nv558hszgs.png,Arrows whittled from animal bones tipped with a shard of crystal. Creates a resonating noise at the point of impact.,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",-
17f695c24afl0i0ab8ndzenywdxan,Rotbone Bolt,https://eldenring.fanapis.com/images/ammos/17f695c24afl0i0ab8ndzenywdxan.png,Bolt carved from animal bone. The tip is daubed with rot. Afflicts targets with scarlet rot. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 25}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes scarlet rot buildup (55)
17f69558d42l0i0abcowa3xytt0hzd,Sleepbone Arrow Fletched,https://eldenring.fanapis.com/images/ammos/17f69558d42l0i0abcowa3xytt0hzd.png,Arrow whittled from animal bones. The tip is daubed with a water lily tincture. Afflicts targets with drowsiness. Craftable item. The addition of fletching enables more precise shots that can travel farther.,Pierce,"[{'name': 'physical', 'amount': 20}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Confers Sleep status ailment
17f696a05b4l0i0abdatq6y5puk5v,Sleepbone Arrow,https://eldenring.fanapis.com/images/ammos/17f696a05b4l0i0abdatq6y5puk5v.png,Arrow whittled from animal bones. The tip is daubed with a water lily tincture. Afflicts targets with drowsiness. Craftable item.,Pierce,"[{'name': 'physical', 'amount': 20}, {'name': 'magic', 'amount': 0}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Confers Sleep status ailment
17f69b10b35l0i0abn77r17fy19pon,Spiritflame Arrow,https://eldenring.fanapis.com/images/ammos/17f69b10b35l0i0abn77r17fy19pon.png,Arrow set alight with ghostflame before firing.Deals magic damage while also afflictingfoes with frost.,Pierce,"[{'name': 'physical', 'amount': 30}, {'name': 'magic', 'amount': 40}, {'name': 'fire', 'amount': 0}, {'name': 'lightning', 'amount': 0}, {'name': 'holy', 'amount': 0}, {'name': 'critical', 'amount': 100}]",Causes frost build up (65)
