id,name,image,description,type,cost,slots,effects,requires
17f69160ac9l0hynthagycs7dr7gq7,Black Blade,https://eldenring.fanapis.com/images/incantations/17f69160ac9l0hynthagycs7dr7gq7.png,Power gleaned from the remembrance of Maliketh.,Incantations,26,2,Black blade spinning slash that emits wave of light.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 46}, {'name': 'Arcane', 'amount': 0}]"
17f69860befl0hyntmsoo0kq76fsvd,Black Flame Ritual,https://eldenring.fanapis.com/images/incantations/17f69860befl0hyntmsoo0kq76fsvd.png,Superior black flame incantation of the Godskin Apostles. ,Incantations,24,1,Summons circle of black flame pillars around caster.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 42}, {'name': 'Arcane', 'amount': 0}]"
17f6982c810l0hyntn0pvua05sv3w,Black Flame,https://eldenring.fanapis.com/images/incantations/17f6982c810l0hyntn0pvua05sv3w.png,A black flame incantation of the Godskin Apostles.,Incantations,15,1,Throws a ball of raging black fire,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 20}, {'name': 'Arcane', 'amount': 0}]"
17f692ee649l0hyntu1vu7cu8wxah,Black Flame Blade,https://eldenring.fanapis.com/images/incantations/17f692ee649l0hyntu1vu7cu8wxah.png,A black flame incantation of the Godskin Apostles. ,Incantations,15,1,Enchants right-hand armament with black flame,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 17}, {'name': 'Arcane', 'amount': 0}]"
17f6955e547l0hyntv29oe95w4kpxj,Bestial Vitality,https://eldenring.fanapis.com/images/incantations/17f6955e547l0hyntv29oe95w4kpxj.png,"Incantation taught by Gurranq, the Beast Clergyman.",Incantations,18,1,Heals HP over a period of time,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 12}, {'name': 'Arcane', 'amount': 0}]"
17f694f1c32l0hynu33qh2e3un2g1,Black Flame's Protection,https://eldenring.fanapis.com/images/incantations/17f694f1c32l0hynu33qh2e3un2g1.png,A black flame incantation of the Godskin Apostles.,Incantations,30,1,Increases phyiscal damage negation,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 30}, {'name': 'Arcane', 'amount': 0}]"
17f69801f77l0hynudtg36sba9k5lr,Blessing's Boon,https://eldenring.fanapis.com/images/incantations/17f69801f77l0hynudtg36sba9k5lr.png,One of the ancient Erdtree incantations.,Incantations,23,1,Grants blessing to self and nearby allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 24}, {'name': 'Arcane', 'amount': 0}]"
17f690ba6e1l0hynuyuvb7sle1w35,Blessing Of The Erdtree,https://eldenring.fanapis.com/images/incantations/17f690ba6e1l0hynuyuvb7sle1w35.png,One of the ancient Erdtree incantations,Incantations,60,2,Grants greater blessing to self and nearby allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 38}, {'name': 'Arcane', 'amount': 0}]"
17f697aaf25l0hynv3bmpsnp4lpnd,Bloodflame Blade,https://eldenring.fanapis.com/images/incantations/17f697aaf25l0hynv3bmpsnp4lpnd.png,"A Blood Oath incantation, granted by the Lord of Blood. Engulfs armament held in the right hand with bloodflame. This incantation can be cast while in motion. After dealing damage, bloodflame continues to build up onset of blood loss for a very short time.",Incantations,20,1,Enchants right-hand armament with bloodflame,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 12}, {'name': 'Arcane', 'amount': 10}]"
17f6973c98fl0hynv5gnjf09yvy8y,Bloodflame Talons,https://eldenring.fanapis.com/images/incantations/17f6973c98fl0hynv5gnjf09yvy8y.png,"A Blood Oath incantation, granted by the Lord of Blood.",Incantations,18,1,Creates bloodflame lacerations that then explode,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 13}, {'name': 'Arcane', 'amount': 15}]"
17f68fd9537l0hynv7q0d210i53bym9,Bloodboon,https://eldenring.fanapis.com/images/incantations/17f68fd9537l0hynv7q0d210i53bym9.png,"Sacred incantation of Mohg, Lord of Blood.",Incantations,15,1,Scatters bloodflame before caster to set area aflame.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 14}, {'name': 'Arcane', 'amount': 17}]"
17f695324del0hynv9a91iu7h3knff,Borealis's Mist,https://eldenring.fanapis.com/images/incantations/17f695324del0hynv9a91iu7h3knff.png,Superior incantation of Dragon Communion.,Incantations,48,1,Spews icy breath of Borealis from above,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 23}, {'name': 'Arcane', 'amount': 15}]"
17f694bc935l0hynvcwx4oahz00k48,Cure Poison,https://eldenring.fanapis.com/images/incantations/17f694bc935l0hynvcwx4oahz00k48.png,Incantation of the Two Fingers' faithful.,Incantation,7,1,Cures Poison ailment and reduces poison build-up.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 10}, {'name': 'Arcane', 'amount': 0}]"
17f696d3fddl0hynve32uy42tb6pip,Burn O Flame!,https://eldenring.fanapis.com/images/incantations/17f696d3fddl0hynve32uy42tb6pip.png,One of the incantations that draws directly from the power of the,Incantations,30,1,Raises a series of flame pillars around caster,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 27}, {'name': 'Arcane', 'amount': 0}]"
17f690b63a9l0hynvpzqrouoa3uwo,Darkness,https://eldenring.fanapis.com/images/incantations/17f690b63a9l0hynvpzqrouoa3uwo.png,"Incantation of the Two Fingers' servants, who once served as the ",Incantations,26,1,Creates area of darkness that conceals caster,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 18}, {'name': 'Arcane', 'amount': 0}]"
17f6907b527l0hynw9qj9bgu0iu0x,Death Lightning,https://eldenring.fanapis.com/images/incantations/17f6907b527l0hynw9qj9bgu0iu0x.png,Incantation that channels the power of the ancient dragon,Incantation,46,2,Strikes surroundings with storm of death lightning,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 47}, {'name': 'Arcane', 'amount': 0}]"
17f69836ab4l0hynwcix7z37ngspv,Discus Of Light,https://eldenring.fanapis.com/images/incantations/17f69836ab4l0hynwcix7z37ngspv.png,One of the incantations of the Golden Order fundamentalists. ,Incantations,11,1,Fires ring of light before the caster,"[{'name': 'Intelligence', 'amount': 13}, {'name': 'Faith', 'amount': 13}, {'name': 'Arcane', 'amount': 0}]"
17f695c512fl0hynwmn3k7xy8866e,Divine Fortification,https://eldenring.fanapis.com/images/incantations/17f695c512fl0hynwmn3k7xy8866e.png,Incantation of the Two Fingers' faithful.,Incantations,20,1,Increases holy damage negation.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 10}, {'name': 'Arcane', 'amount': 0}]"
17f69850e86l0hynws5vlzzny9q7y,Dragonbolt Blessing,https://eldenring.fanapis.com/images/incantations/17f69850e86l0hynws5vlzzny9q7y.png,"Superior incantation of the capital's ancient dragon cult. Summons lightning to bolster the caster's body. Attacks become easier to deflect and resistance to all ailments is increased. However, lightning damage negation will be reduced. Only those loved by dragons can survive the ordeal of cladding their bodies in lightning.",Incantations,20,1,Bolsters caster's body with lightning,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 21}, {'name': 'Arcane', 'amount': 0}]"
17f695ddd2cl0hynwt4kcvu1t0jpbh,Dragonice,https://eldenring.fanapis.com/images/incantations/17f695ddd2cl0hynwt4kcvu1t0jpbh.png,One of the incantations of Dragon Communion.,Incantations,36,1,Channels dragon to spew icy breath,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 15}, {'name': 'Arcane', 'amount': 12}]"
17f695ee05cl0hynwvuh9iqspb3fmk,Dragonclaw,https://eldenring.fanapis.com/images/incantations/17f695ee05cl0hynwvuh9iqspb3fmk.png,One of the incantations of Dragon Communion.,Incantations,42,1,Channels dragon to rend foes with dragon claws,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 17}, {'name': 'Arcane', 'amount': 13}]"
17f6919abe5l0hynwx7opzx5u5zvs,Dragonfire,https://eldenring.fanapis.com/images/incantations/17f6919abe5l0hynwx7opzx5u5zvs.png,One of the incantations of Dragon Communion.,Incantation,28,1,Channels dragon to spew flame breath,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 15}, {'name': 'Arcane', 'amount': 12}]"
17f68f9d130l0hynx3f1brjxtzdk9j,Dragonmaw,https://eldenring.fanapis.com/images/incantations/17f68f9d130l0hynx3f1brjxtzdk9j.png,One of the incantations of Dragon Communion.,Incantations,62,1,Channels dragon to bite foes before caster,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 24}, {'name': 'Arcane', 'amount': 16}]"
17f6909836cl0hynxdbh1rpx4s4xfb,Ekzyke's Decay,https://eldenring.fanapis.com/images/incantations/17f6909836cl0hynxdbh1rpx4s4xfb.png,"Superior incantation of Dragon Communion. Channels the power of Ekzykes, the Decaying.",Incantations,48,1,Spews scarlet rot breath of Ekzykes from above.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 23}, {'name': 'Arcane', 'amount': 15}]"
17f693fa72dl0hynxecsuhc2twylv,Ekzykes's Decay,https://eldenring.fanapis.com/images/incantations/17f693fa72dl0hynxecsuhc2twylv.png,"Superior incantation of Dragon Communion. Channels the power of Ekzykes, the Decaying.",Incantations,48,1,Spews scarlet rot breath of Ekzykes from above,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 23}, {'name': 'Arcane', 'amount': 15}]"
17f694fc4c1l0hynyj2kcaruicejdh,Fire's Deadly Sin,https://eldenring.fanapis.com/images/incantations/17f694fc4c1l0hynyj2kcaruicejdh.png,Incantation originating from a deeply ominous prophecy.,Incantations,26,1,Sets area and self ablaze with raging flames,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 19}, {'name': 'Arcane', 'amount': 0}]"
17f698775c6l0hynyj6kv53b13zexj,Erdtree Heal,https://eldenring.fanapis.com/images/incantations/17f698775c6l0hynyj6kv53b13zexj.png,One of the ancient Erdtree incantations.,Incantations,65,1,Vastly heals HP for self and nearby allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 42}, {'name': 'Arcane', 'amount': 0}]"
17f6908edd1l0hynyjh9vrt6fwxg9g,"Flame, Fall Upon Them",https://eldenring.fanapis.com/images/incantations/17f6908edd1l0hynyjh9vrt6fwxg9g.png,One of the incantations that draws directly from the power of the,Incantations,24,1,Hurls several balls of fire at once,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 28}, {'name': 'Arcane', 'amount': 0}]"
17f692cd88cl0hynyo45u48tb1tyn,Ezykes's Decay,https://eldenring.fanapis.com/images/incantations/17f692cd88cl0hynyo45u48tb1tyn.png,Spews scarlet rot breath of Ekzykes from above,Incantations,48,1,???,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 23}, {'name': 'Arcane', 'amount': 15}]"
17f691a5912l0hynyooe4izs5zxh3t,Electrify Armament,https://eldenring.fanapis.com/images/incantations/17f691a5912l0hynyooe4izs5zxh3t.png,One of the incantations of the capital's ancient dragon cult.,Incantations,21,1,Enchants right-hand armament with lightning damage,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 15}, {'name': 'Arcane', 'amount': 0}]"
17f6985c468l0hynypycnlfmwjdzds,Flame Fortification,https://eldenring.fanapis.com/images/incantations/17f6985c468l0hynypycnlfmwjdzds.png,Incantation of the Two Fingers' faithful. ,Incantations,20,1,Increases fire damage negation.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 10}, {'name': 'Arcane', 'amount': 0}]"
17f6964ed65l0hynyrzn67dmtv89e,Flame Of The Fell God,https://eldenring.fanapis.com/images/incantations/17f6964ed65l0hynyrzn67dmtv89e.png,"This legendary incantation is one of several that draws directly from the power of the Fire Giants. Releases a ball of raging fire said to be inhabited by a fell god. The fireball floats toward enemies and explodes, setting the area ablaze. Arghanthy, the chief guardian of the Flame, had kept this incantation a well-kept secret until it was stolen by Adan. The fell god still lurks within the Fire Giants.",Incantations,20,2,Summons raging fireball that explodes and sets the area ablaze,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 41}, {'name': 'Arcane', 'amount': 0}]"
17f69225db6l0hynyujjw6qxgtrbk,Elden Stars,https://eldenring.fanapis.com/images/incantations/17f69225db6l0hynyujjw6qxgtrbk.png,This legendary incantation is the most ancient of those that derive from the Erdtree.,Incantations,47,2,Creates a steam of golden shooting stars that assail the area.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 50}, {'name': 'Arcane', 'amount': 0}]"
17f692f5b38l0hynzsnci8jsfgasx6,"Flame, Protect Me",https://eldenring.fanapis.com/images/incantations/17f692f5b38l0hynzsnci8jsfgasx6.png,The most ancient of the Fire Monks' incantations.,Incantations,30,1,Greatly increases fire damage negation,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 24}, {'name': 'Arcane', 'amount': 0}]"
17f693ad486l0hynztvo8jus81t2uf,Fortissax's Lightning Spear,https://eldenring.fanapis.com/images/incantations/17f693ad486l0hynztvo8jus81t2uf.png,Incantation that channels the power of the ancient dragon Fortissax. ,Incantations,64,1,Stabs from above with two red lightning spears in tandem,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 46}, {'name': 'Arcane', 'amount': 0}]"
17f6939dc0dl0hyo003ig3i03oy5eh,Frozen Lightning Spear,https://eldenring.fanapis.com/images/incantations/17f6939dc0dl0hyo003ig3i03oy5eh.png,"Incantation that channels the power of the Dragonkin Soldiers. Creates a spear of ice lightning and stabs it into the ground from above. On impact, the spear will burst into trails of lightning advancing forwards. The Dragonkin were born in the Eternal City, where they knew no true sky, nor true lightning. Instead, ice lightning was their weapon.",Incantations,36,1,Stabs with ice lightning spear from above,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 34}, {'name': 'Arcane', 'amount': 0}]"
17f695939cbl0hyo0116aw3hbaoca,Glintstone Breath,https://eldenring.fanapis.com/images/incantations/17f695939cbl0hyo0116aw3hbaoca.png,One of the incantations of Dragon Communion.,Incantations,36,1,Channels dragon to spew icy breath.,
17f68ff32f6l0hyo035frl5ld6347k,Golden Lightning Fortification,https://eldenring.fanapis.com/images/incantations/17f68ff32f6l0hyo035frl5ld6347k.png,An incantation of Erdtree Worship.,Incantations,30,1,Greatly increases lightning resistance for self and allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 24}, {'name': 'Arcane', 'amount': 0}]"
17f690e9092l0hyo03nyw25bgiu4hs,Frenzied Burst,https://eldenring.fanapis.com/images/incantations/17f690e9092l0hyo03nyw25bgiu4hs.png,Incantations originating from the maddening Three Fingers.,Incantations,24,1,Emits concentrated blast of yellow flame of frenzy from eyes,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 22}, {'name': 'Arcane', 'amount': 0}]"
17f695e7bcdl0hyo059aa6ajju2es,Giantsflame Take Thee,https://eldenring.fanapis.com/images/incantations/17f695e7bcdl0hyo059aa6ajju2es.png,One of the incantations that draws directly from the power of the,Incantations,32,2,Hurls massive ball of raging fire,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 30}, {'name': 'Arcane', 'amount': 0}]"
17f69510ee3l0hyo0f0mccaj31dwhq,Golden Vow (spell),https://eldenring.fanapis.com/images/incantations/17f69510ee3l0hyo0f0mccaj31dwhq.png,An incantation of Erdtree Worship.,Incantations,47,1,Increases attack and defense for self and allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 25}, {'name': 'Arcane', 'amount': 0}]"
17f69535c25l0hyo1gmmkqtdazls9,Gurrang's Beast Claw,https://eldenring.fanapis.com/images/incantations/17f69535c25l0hyo1gmmkqtdazls9.png,"Superior incantation taught by Gurranq, the Beast Clergyman. ",Incantations,21,1,Creates beast claws to rend surroundings with shockwaves,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 15}, {'name': 'Arcane', 'amount': 0}]"
17f69822dd3l0hyo1hzk48p9uymlan,Immutable Shield,https://eldenring.fanapis.com/images/incantations/17f69822dd3l0hyo1hzk48p9uymlan.png,One of the incantations of the Golden Order fundamentalists. ,Incantations,15,1,Increases left-hand shield's affinity/ailment resistance,"[{'name': 'Intelligence', 'amount': 19}, {'name': 'Faith', 'amount': 19}, {'name': 'Arcane', 'amount': 0}]"
17f692dbdc9l0hyo1jah0ket283h6d,Heal,https://eldenring.fanapis.com/images/incantations/17f692dbdc9l0hyo1jah0ket283h6d.png,Incantation of the Two Fingers' faithful.,Incantation,32,1,Heals HP for you and nearby allies.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 12}, {'name': 'Arcane', 'amount': 0}]"
17f69430705l0hyo1jpd17zxxmmdyl,Howl Of Shabriri,https://eldenring.fanapis.com/images/incantations/17f69430705l0hyo1jpd17zxxmmdyl.png,Incantation originating from the maddening Three Fingers. ,Incantations,21,1,"Shrieks, building up madness in nearby foes","[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 33}, {'name': 'Arcane', 'amount': 0}]"
17f6926bc7dl0hyo1ku9wh0qz4eyh6,Great Heal,https://eldenring.fanapis.com/images/incantations/17f6926bc7dl0hyo1ku9wh0qz4eyh6.png,Superior incantation of the Two Fingers' faithful.,Incantations,45,1,Greatly Heals HP for self and nearby allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 15}, {'name': 'Arcane', 'amount': 0}]"
17f693e76abl0hyo1mzypokk5gvlz,Greyoll's Roar,https://eldenring.fanapis.com/images/incantations/17f693e76abl0hyo1mzypokk5gvlz.png,"Superior incantation of Dragon Communion. Channels the power of Greyoll, the Elder Dragon. An incantation of legendary status.",Incantation,75,2,Emits the roar of Elder Dragon Greyoll.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 28}, {'name': 'Arcane', 'amount': 17}]"
17f68fa0c30l0hyo1qasgyir08s9kb,Inescapable Frenzy,https://eldenring.fanapis.com/images/incantations/17f68fa0c30l0hyo1qasgyir08s9kb.png,Incantation originating from the maddening Three Fingers. ,Incantations,32,1,Latches onto foes to spread madness,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 21}, {'name': 'Arcane', 'amount': 0}]"
17f6904f3b2l0hyo1u5sqdw9zxr0g,Honed Bolt,https://eldenring.fanapis.com/images/incantations/17f6904f3b2l0hyo1u5sqdw9zxr0g.png,One of the incantations of the capital's ancient dragon cult.,Incantations,12,1,Strikes foe with lightning bolt from above,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 24}, {'name': 'Arcane', 'amount': 0}]"
17f69773db5l0hyo3532itzerrsdj,Lansseax's Glaive,https://eldenring.fanapis.com/images/incantations/17f69773db5l0hyo3532itzerrsdj.png,Incantation that channels the powr of the ancient dragon Lansseax.,Incantations,35,1,Sweeps from above with red lightning glaive.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 40}, {'name': 'Arcane', 'amount': 0}]"
17f696de88al0hyo39vlr771is6fv,Lightning Fortification,https://eldenring.fanapis.com/images/incantations/17f696de88al0hyo39vlr771is6fv.png,Incantation of the Two Fingers' faithful. ,Incantations,20,1,Increass lighting damage negation,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 10}, {'name': 'Arcane', 'amount': 0}]"
17f69602ae3l0hyo3a6ruzolnobp3o,Lord's Aid,https://eldenring.fanapis.com/images/incantations/17f69602ae3l0hyo3a6ruzolnobp3o.png,Incantation bestowed by the Two Fingers upon the Tarnished,Incantations,9,1,Alleviates poison / blood loss / sleep buildup for self / allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 12}, {'name': 'Arcane', 'amount': 0}]"
17f6908485dl0hyo3bkdtot70uk3p4,Lightning Spear,https://eldenring.fanapis.com/images/incantations/17f6908485dl0hyo3bkdtot70uk3p4.png,"One of the incantations of the capital's ancient dragon cult. Summons a lightning spear and hurls it before the caster. Charging causes a lightning bolt to strike the point ofimpact. Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe — an event that gave rise to the ancient dragon cult in the capital.",Incantations,14,1,Hurls lightning spear before caster,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 17}, {'name': 'Arcane', 'amount': 0}]"
17f6933b1fdl0hyo3bz9d9loqhf9qh,Law Of Causality,https://eldenring.fanapis.com/images/incantations/17f6933b1fdl0hyo3bz9d9loqhf9qh.png,One of the incantations of the Golden Order fundamentalists.,Incantations,22,1,Retaliates upon receiving a number of blows,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
17f6908f509l0hyo3cd6br7iexs0ys,Litany Of Proper Death,https://eldenring.fanapis.com/images/incantations/17f6908f509l0hyo3cd6br7iexs0ys.png,One of the incantations of the Golden Order fundamentalists. ,Incantation,17,1,Creates image of Order to deal holy damage,"[{'name': 'Intelligence', 'amount': 17}, {'name': 'Faith', 'amount': 17}, {'name': 'Arcane', 'amount': 0}]"
17f693addcel0hyo3dh93zpcxbralt,Law Of Regression,https://eldenring.fanapis.com/images/incantations/17f693addcel0hyo3dh93zpcxbralt.png,"Incantation of the Golden Order fundamentalists. One of the key fundamentals. Heals all negative statuses, dispels special effects, and reveals mimicry in all its forms. The fundamentalists describe the Golden Order through the powers of regression and causality. Regression is the pull of meaning; that all things yearn eternally to converge.",Incantations,55,1,Heals all ailments and dispels all special effects,"[{'name': 'Intelligence', 'amount': 37}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
17f69522233l0hyo3e7aqun8itt9a,Lightning Strike,https://eldenring.fanapis.com/images/incantations/17f69522233l0hyo3e7aqun8itt9a.png,One of the incantations of the capital's ancient dragon cult.,Incantations,17,1,Summons lightning bolt that spreads from impact.,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 28}, {'name': 'Arcane', 'amount': 0}]"
17f6988869dl0hyo4qsblr2lchs3q7,Lord's Divine Fortification,https://eldenring.fanapis.com/images/incantations/17f6988869dl0hyo4qsblr2lchs3q7.png,Incantation taught to Gideon the All-Knowing by the Two,Incantations,30,1,Greatly increases holy damage negation incl. allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 27}, {'name': 'Arcane', 'amount': 0}]"
17f69634f78l0hyo4s4zggpkf72qsp,Lord's Heal,https://eldenring.fanapis.com/images/incantations/17f69634f78l0hyo4s4zggpkf72qsp.png,Incantation bestowed by the Two Fingers upon the Tarnished,Incantations,42,1,Massively heals HP for self and nearby allies,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 20}, {'name': 'Arcane', 'amount': 0}]"
17f68fdec40l0hyo4sbk8kjcr4p6lp,Order Healing,https://eldenring.fanapis.com/images/incantations/17f68fdec40l0hyo4sbk8kjcr4p6lp.png,One of the incantations of the Golden Order fundamentalists.,Incantations,15,1,Alleviates death blight buildup,"[{'name': 'Intelligence', 'amount': 0}, {'name': 'Faith', 'amount': 0}, {'name': 'Arcane', 'amount': 0}]"
